doc_id,total_word_count,filtered_text
APW19980314.0418,144,jerusalem ap man injure saturday explosion bus station small northern israeli town afula police say israel radio say say man injury see handle cardboard box sudden explosion injure hand eye radio say man take hospital police investigate detail immediately available afula bus station scene major terror attack april 1994 car rig explosive blow kill people injure 45 militant muslim group hama claim responsibility saturday blast occur station desert public transport israeli city jewish sabbath begin sundown friday end sundown saturday
APW19980314.0419,330,heerenveen netherland ap germanys gunda niemann smash 3000 meter speedskate world record saturday time 4 minute 508 second shatter old record fellow german claudia pechstein stand 40713 niemann begin race calmly pick pace middle lap accelerate new record close lap indoor thialf ice stadium racing pair pechstein skate 40736 second place race time leave second niemann round championship sunday 5000 meter race leave german anni friesinger 3000 meter time 41157 great tournament lot people skate personal best motivate niemann say early saturday reign men world round champion id postma netherland virtually guarantee retain title narrowly beat dutch rival rintje ritsma thrilling 1500 meter race draw race pair postma clock 14885 edge ritsma time 14886 complete sweep race distance round championship great fight postma say time difference actually ritsma concede title certainly reach sunday 10000 meter race difference men cumulative time id ritsma say strange strange postma win round title ritsma add italian veteran roberto sighel 1500 race 15119 day race women 1500 meter defend round champion niemann push pechstein second powering victory 15869 second skater chris witty duck minute mark land place 15946 mc
APW19980314.0423,835,pristina yugoslavia ap s company director wear good suit collect fine art count influential friend s worn refugee sleep borrow blanket boban boskovic chief executive plastika factory common ilinka durbaba stick refugee camp nearly year kosovo shoulder common burden serb serbia control hostile albanian majority outnumber 9 1 albanian groan repressive serbian rule average serb kosovo feel threaten specter secessionist war united state world power consider kosovo albanian victim struggle autonomy independence albanian lose right virtual self rule 1989 recently serb police kill 80 brutal week crackdown militant separatist sympathy grow albanian hostility rise serb equate repressive government kosovo serb victim work low pay government job state company meet payroll albanian victim mass firing early 1990 dominate private sector prosperity reflect large house modern store kosovo serb despise minority home ground leave government forbid property sale milica boskovic director wife flinch albanian boy spit nt bad say serb parent nod walk child school fearful abuse albanian kid school split wall serb albanian kid swear kid say mrs boskovic mother 7 8 year old boy plastika factory boban boskovic say harmony half work force ethnic albanian loyalty forge plant burn 1983 fire think set albanian separatist boskovic call worker meet ahead rebuild tell tito milosevic rugova say boskovic refer respectively leader communist yugoslavia give kosovo automony successor take away ethnic albanian leader seek independence ve get mouth feed serb albanian bear raise kosovo boskovic proud root province cradle serb culture orthodox religion picture lavish office archbishop serb royalty zeljko raznatovic aka arkan serb ultranationalist troop accuse atrocity croatia bosnia recently kosovo reply ask contemplate leave talk say albanian talk long time ago hairdresser serb woman discuss option stay reflect good time 1950 1960 view tito great mistake give kosovo autonomy 1974 high albanian birthrate influx neighboring albania leave serb corner 1980 say zhivka savic 65 reverse true chair salon squeeze modern equipped albanian shop compare little house story albanian mrs savic rail ignore warning woman hush thin wall albanian shop door sell albanian minute let street albanian kid start chant terrorist hairdresser milanka milentijevic say 80 percent customer albanian 1970 month business 95 percent say serb afford come leave long time ago 200 relative leave area mrs milentijevic want stay describe albanian acquaintance friend hide talk family politic say mrs milentijevic 50 joke situation mrs durbaba refugee contemplate option sit cot space blanket family say start run 3 german world war ii 1995 flee town knin croatia croat recapture rebel serb seize 1991 time run say sob turn poster slobodan milosevic yugoslav president stoke war force flee knin decision abolish kosovos autonomy radicalize albanian love say mrs durbaba s good everybody love peace
APW19980314.0425,297,nairobi kenya ap welshman mark litton hit brilliant round par 65 saturday stroke lead round tusker kenya open 71 par muthaiga golf club litton drop shot 377 meter 413 yard par hole recover sink birdie second hole play level par par round feature seven birdie litton play partner kenyan jacob okello tie second argentine ricardo gonzalez 10 par 203 round shot leader good test drive thing work fine litton say ve wonderful partnership okello hope play final round okello 26 say pleased put round get tip fellow kenyan professional putting improve fairway bit difficult say seven par 206 round england john mellor player finish round par 207 146 player teed thursday cut friday par 144 sixth hole long 6250 meter 6836 yard muthaiga course fourth final round play sunday kenya open round european challenge tour lead 15 player tour ranking end season earn european tour membership 1999 season past tournament winner include seve ballestero jose maria canizare ian woosnam em kjd
APW19980314.0431,203,georgetown guyana ap second army batallion send south american countrys amazonian rainforest help fight forest fire result el nino fuel drought government announce saturday soldier join firefighter forestry commission ranger try contain blaze burn month southern western part country local team unable control fire guyana look border assistance situation good say forestry minister satydeo sawh fire rage need help guyana northeast shoulder south america suffer prolong dry spell blame el nino cause change weather pattern july height dry season forest susceptible fire significant rainfall unlikely june lack rainfall affect varied industry rice farming gold mining 35000 resident bauxite mining town linden 70 mile 113 kilometer south georgetown smoke begin affect resident normally bother dust pollution mining
APW19980314.0434,404,vatican city ap 10 year promise meeting jewish leader major vatican document holocaust ready vatican say saturday document produce commission relation judaism public monday jewish group worldwide keenly await document continue heal jewish catholic relation time issue call release speed vatican document landmark proportion jewish relation 1965 statement come second vatican council paul vi nostra aetate time condemn anti semitism say jews collectively blame crucifixion jesus pope john paul ii dedicate nearly 20 year old papacy improve relation church jews refer old brother century animosity word late document come sept 1 1987 meeting pope jewish leader castel gandolfo pontiff summer residence hill southeast rome unprecedented meeting hurriedly call anxiety build vatican jews boycott ceremony soon approach papal visit united state jew anger pope audience early year austrian president kurt waldheim accuse help deport jew nazi concentration camp allegation deny castel gandolfo meeting time jewish representative sit informal discussion pope representative 1987 meeting say vatican plan publish major document deal anti semitism genocide european jew nazi world war ii meeting john paul preside milestone improve relation jew include establishment diplomatic relation israel 1995 agreement ahead forge tie come december 1993 ground breaking step pope visit rome main synagogue 1986 fall pope tell vatican seminar anti jewish current christian theology century anti jewish prejudice figure deaden christian resistance toe nazi persecution jews disappointment jewish group pope steer clear blame church fd
APW19980314.0435,653,beijing ap small secretive chinese opposition party ambitious goal bring free election political democracy great civil liberty currently allow rule communist party beijing base member underground group say 29 year old member china democratic justice party stop short say want communist overthrow instead say want able compete equal footing election let people decide rule unite wo nt thousand people able grow million people ten million say interview china base member group like polish solidarity union movement nationwide civil power organization announce formation month fax foreign reporter beijing say headquarter exile chinese dissident united state member china way confirm group existence member inside china group know opposition party organize dissident china overseas force operate secretly small cell moment appear present obvious threat communist nearly 50 year rule china constitution allow freedom association liberty work change communist run system illegal party relentlessly punish dissent party member china work small cell operate independently avoid detection party member say identify chen jin pseudonym say sign petition government call democratic change generally circumspect history say grow northeast china study beijing work business manager take democracy protest 1989 start beijing tiananman square spread city say 17 member party cell beije member range age include university student government bureaucrat professor laborer lawyer say estimate cell beijing similar number member cell operate changchun plan harbin say city china northeast dissatisfaction layoff run state firm mount accord new york base dissident fu shenqi spokesman group party 100 member 10 branch province city china partys demand include freedom speech freedom assembly freedom protest freedom press freedom set opposition party beijing base member say common conviction bring political diversification political democracy china say ask party recruit member describe somewhat vague process party member start chat ordinary chinese mention taxi driver factory worker entrepreneur soldier issue public concern include official corruption party government layoff source dissatisfaction arise china decade shift plan market economy contact look suitable people join party say meet meeting meeting discover think like willing operate organization target say strong communist party lose rule base army wo nt carry order add time use negotiation resolve problem society
APW19980314.0442,486,rome ap year terrorist kidnap premier aldo moro leave bullet riddled body parked car question haunt italy save anniversary kidnapping mark television program new book play publish interview convict member red brigade take crime ex terrorist add fuel debate assassination define moment italys reign terrorism 1970 early 80 moro abduct rome march 16 1978 ambush kill bodyguard body turn 55 day later car park corner headquarters christian democrat communist party moro negotiate agreement communist christian democrat lead political force italy time collaborate historic agreement break long stand policy back united state western europe large communist party away power political party long exist scandal end cold war take bite ideological division mark italian society year bullet bomb kidnapping slaying stiffen italys resolve fight domestic terrorism mark beginning end urban guerrilla gang country premier giulio andreotti like moro christian democrat trial charge favor mafia insist early month government free moro activate everybody include armed force andreotti say roundtable organize corriere della sera newspaper government stick hard line policy refuse compromise free terrorist prisoner despite moro increasingly desperate plea mario moretti convict triggerman quote say signal recognition existence political prisoner instead know right thing mistake mistake quote say weekly vita anna braghetti red brigade member give different version say decision kill moro come poll 200 member gang group justify spare moro life give government compromise bodyguard kill attempt kidnap braghetti quote say corriere della sera attempt close dark chapter year lead terrorist period call amnesty convict terrorist crime stall parliament opposition strong clemency blood crime like moro kill
APW19980314.0443,141,jerusalem ap man injure saturday explosion bus station small northern israeli town afula police say israel radio say man injury see handle cardboard box sudden explosion injure hand eye radio say man take hospital police investigate detail immediately available afula bus station scene major terror attack april 1994 car rig explosive blow kill people injure 45 militant muslim group hama claim responsibility saturday blast occur station desert public transport israeli city jewish sabbath begin sundown friday end sundown saturday
APW19980314.0452,153,tbilisi georgia ap georgia turkey sign accord saturday launch cooperative project transport oil azerbaijan caspian oil field georgia turkey oil produce country caspian sea region approve route early month agreement include construction trans caucasian pipeline sign saturday georgian president eduard shevardnadze prime minister mesut yilmaz turkey turkey long campaign pipeline run azerbaijan capital baku georgia turkish mediterranean port ceyhan turkey strong competitor russia vie pipeline traverse territory oil azerbaijan start flow russian pipeline fall friday georgia turkey sign inter governmental accord border cooperation black sea exchange program sport education science culture itar tass news agency report pvsji
APW19980314.0454,192,dunblane scotland ap townspeople dedicate garden saturday memory 16 child teacher kill suicidal gunman year ago garden beautiful place remember love one lose say mick north daughter sophie slay child cheerfulness brightness primary classroom evoke pebble pool hear chatter child sound fountain say dedication ceremony local man 43 year old thoma hamilton barge primary school march 13 1996 open fire class gym addition kill injure 12 child teacher kill britain ban handgun ownership memorial garden design victim family feature bronze plaque name dead cherry tree variety flower memorial dunblane victim sculpture stone wood unveil april 5 national forest northern england rb
APW19980314.0458,485,beirut lebanon ap lebanese guerrilla attack israeli force southern lebanon saturday civilian flock rally country mark 20 year israeli occupation lebanon president prime minister national assembly speaker hold talk syrian leader damascus israel proposal withdraw 1500 troop southern lebanon talk see aim coordinate lebanese syrian view ahead visit un secretary general kofi annan beirut damascus reject jerusalem proposal make withdrawal conditional lebanese guarantee guerrilla attack northern israel guerrilla iranian back hezbollah group mount attack position israeli troop allied lebanese militiaman occupy zone lebanese official say word casualty hezbollah hezbollah back lebanese resistance brigade say statement issue guerrilla attack position sojod hardon baarchit hadatha soweida thousand turn rally beirut city sidon tyre town nabatiyeh south sidon capital southern lebanon local politician prime minister sister legislator bahia hariri denounce israel occupation call implementation un security council resolution 425 pass 1978 resolution call israel withdraw force lebanon speaker vow guerrilla continue resistance israeli force occupation end beirut legislator mohamme beydoun warn crowd israel attack lebanon aim torpedo resolution 425 group call march 14 solidarity day occupy southern lebanon publish page advertisement daily star describe world failure israel comply resolution 425 record disgrace march 14 1978 25000 israeli troop invade south lebanon campaign palestinian guerrilla attack town northern israel day later security council adopt resolution 425 huge yellow banner hang intersection beirut motorist string yellow ribbon aerial lebanon yellow symbol support resolution 425 eastern city baalbek government building sport yellow banner hezbollah supporter roam street solicit fund resistance outside city hezbollah activist burn israel flag main road thousand lebanese civilian militant nearly 900 israeli soldier kill 1978 1985 israel occupy strip land border amount 10 percent lebanese territory israel maintain strip 2500 local militiaman say zone necessary buffer guerrilla attack increase casualty record 39 israeli troop kill action lebanon year generate grassroots pressure israeli government unilateral withdrawal
APW19980314.0460,221,jerusalem ap man seriously injure saturday explosion outside bus station small northern israeli town afula ambulance official say blast blow man hand israeli army radio quote eli bin deputy head afula ambulance station say man appear early 50 radio say police say explosion take place public park outside bus station man take surgery say spot cardboard box think look suspicious examine explode army radio say israeli police frequently tell people alert suspicious object bomb plant palestinian militant group police urge public touch object report near police station afula bus station scene major terror attack april 1994 car rig explosive blow kill people injure 45 militant muslim group hama claim responsibility saturday blast occur bus station nearly desert public transport israeli city jewish sabbath begin sundown friday end sundown saturday
APW19980424.0864,535,united nation ap recall un failure africa security council member say friday international community demonstrate political help africa overcome economic social problem call come day debate africa review secretary general kofi annan report week outline goal united nation assist world develop continent report annan sub saharan african head united nation say african leader demonstrate political combat corruption protect human right pursue sound economic policy time annan say international community respond invest africa intervene end armed conflict restore stability echo annan comment portugal un ambassador antonio monteiro say political need international community help africa overcome political problem courage need avoid future situation united nation unfortunately see turn african people monteiro say concrete measure consider ensure united nation security council particular provide timely response impending crisis council willingness intervene african crisis weaken disastrous failure un peacekeeping operation somalia 1993 death 18 american soldier gunbattle mogadishu 1993 lead united state withdraw operation impose stringent condition future un peacekeeping mission un official complain condition nearly impossible united nation respond quickly african crisis point stand main reason laggard un response 1994 massacre half million rwandan tutsis moderate hutus hutu extremist security council unable intervene decisively year rebellion congo zaire republic congo dictator overthrow elect president experience intervention somalia bitter non intervention rwanda bad british ambassador john weston tell council cite un success supervise transition eastern slavonia serb croat control example united nation effective give right mandate resource weston say proposal shift peacekeeping regional organization propose clinton administration substitute un need active partnership africa say france un ambassador alain dejammet say france prepared respond work un partner effective role africa despite french drawdown military force continent security council ask annan prepare report follow meeting africa hold september annual general assembly debate united state seek meeting draw international attention problem face africa annan say deliver message visit african country ethiopia djibouti kenya tanzania rwanda burundi uganda eritrea start wednesday
APW19980424.0865,475,copyright 1998 worldsource inc joint venture fdch inc world time inc portion material contain medium attribution worldsource inc shah alam thur selangor waterworks department police step investigation alleged theft water company sun metal work sdn bhd subsidiary wembley industry holding bhd jalan gambus jalan bukit kemune klang company involve metal work production boiler expect charge soon section 38 water supply act 1997 carry maximum fine rm50000 year jail company continue steal water spite directive stop fine rm1000 day shah alam district crime chief deputy superintendent g selvakumar say police step investigation section 379 penal code company 400 permanent contract employee operation site year selangor menteri besar datuk abu hassan omar today say apart court action state waterworks department direct recover payment estimate half million ringgit company offence steal water company time operation site average 450000 litre water day tell reporter open 11th selangor malay chamber commerce industry annual general meeting radisson hotel court add impose deterrent sentence charge theft water abu hassan say department order act immediately information receive public theft water squatter individual commercial sector cost government million ringgit ask department act complaint lodge public early theft water abu hassan say check authority assure public complaint act effective today public lodge complaint state technical committee water head state secretary datuk hashim meon office add say state government consider give reward information theft water present water crisis drop water count say add water ration exercise implement plan affected area zone b employee sun metal work sdn bhd interview say factory deprive water supply past day attempt contact factory official prove futile
APW19980424.0868,952,copyright 1998 worldsource inc joint venture fdch inc world time inc portion material contain medium attribution worldsource inc people world travel cherate east coast peninsular malaysia mainly club me famous cherate visitor know club me short radius pahang beach spot find lovely thing second visit cherate recently unveil place nt weekend spend delight greenery soak sun enjoy leisurely life seaside friend singapore stay legend resort cherate 47 km north kuantan 45 minute kuantan airport prefer drive hour kuala lumpur cherate wide range accommodation choose depend budget notch resort like legend impiana residence inn holiday villa cherate new swiss garden affordable chalet rent village folk foreigner arrange homestay local fee course place visit fishing village kuala kemaman terengganu border plan buy fresh fish materialise friday day rest fisherman undeterre drive cukai tiny town terengganu s burst bank guide santhi jayadhan count dozen service oil gas industry santhi legend senior sale manager live area year know place like hand arrange tour famous club me note delight soon open turtle sanctuary information centre resort mean city folk like nt travel rantau abang turtle hatch following day spend enjoyable morning small uninhabited island afternoon cherate village arrange hotel guide wan yeh mahmood resort duty manager enthusiastic nt possibly chicken turn sea calm beautiful pulau ular snake great picnic spot stamp sized patch beach rocky pulau ular well suit fishing snorkelle water clear tiny fish see swim near rock frolic water wan boatman take sampan spot fishing pleased wan give catch medium small sized fish later arrange resort chef cook fish style steam deep fry prepare delicious ayam percik sauce accord legend general manager kevin loh resort chef willing help guest particularly long stay one cook catch fishing trip visit fishing village trip old cherate village kampung style chalet pub restaurant handicraft workshop mak des chalet cum restaurant miss mak long de say santhi enterprising housewife set chalet rent tourist early 60 20 year club med come scene nt mak long de chat relative pak de sprightly septuagenarian train monkey call salleh pluck coconut amuse tourist sale year old berok pick 200 coconut day pak de say take month train monkey charge rm10 monkey perform rm1 coconut feel local earn living watch village folk gula melaka brown sugar visit cherate handicraft centre woman gather weave mengkuang pandunus leave fashion pretty functional item like mat visor bag slipper letter holder basket coaster hand hold fan late tourist attraction area cherate cultural complex stop cultural centre watch craftsman woman paint batik weave mengkuang tenun demonstration traditional game like spinning kite fly congkak sepak raga dine restaurant complex enjoy wayang kulit play traditional dance run kuantan municipal council rm1 million complex spread 16 ha near cherate river soft opening june expand day getaway cherate finish morning cruise cherate river ve cease amazed diversity richness malaysia flora fauna see 30 minute ride portion cherate river kingfisher iguana pheasant monkey eagle spider enjoy natural music create cicada bird thank goodness nt travel half way world savour simple pleasure life
APW19980424.0870,149,sana yeman ap bomb explode mosque central sana friday kill people wound 27 security official say explosion occur inside al khair mosque score muslim perform friday prayer say official speak condition anonymity injure include citizen dutch canadian african muslim pray mosque time explosion injure critical condition official say take responsibility explosion yemen poor nation 17 million arabian peninsula reel 1994 civil war nearly tear apart union reach 1990 conservative north socialist south government say subsequent act violence direct abroad name country
APW19980424.0872,269,blantyre malawi ap judge say government sensitive suspend math teacher compare size coin image president bakili muluzi predecessor class exercise blantyre high court judge eric kumitsonyo say thursday find derogatory teacher felix mchamithe remark muluzi image coin large late dictator kamuzu banda true face muluzi fill coin kumitsonyo say kumitsonyo adjourn hearing indicate ruling mchamithe ask pupil measure image lesson circumference circle sue education authority wrongful dismissal say suspend allegedly insult muluzi undermine presidential authority teacher tell court clear classroom banda die year age 99 small man dwarf muluzi heavily build muluzi oust banda democratic election 1994 end bandas brutal 30 year dictatorship new rule party say copy bandas habit put president image currency muluzi face appear year detective spend hour thursday question staff opposition daily time remark publish describe muluzi silly newspaper report remark reportedly speech opposition politician dismiss government accusation opposition sponsor crime undermine muluzi
APW19980424.0875,578,nairobi kenya ap 10 day seemingly endless negotiation fear dash hope leader hostage release somalia friday say burst tear gunman set colleague free ve go up down swiss thoma gurtner say group 10 people different nationality different cultural background stick amazing way difficult moment end survive relieve relative cheer hug gurtner step red cross aircraft mogadishu captive include norwegian ola skuterud naturalize american somali ibrahim ahmad belgian toon vandenhove german christoph langenkamp swiss patrick berner markus fasel french nurse nadine piantowsky pilot south african robi byrd kenyan steve riungu release 10 kidnap somali aid worker renegade gunman april 15 soon plane touch north mogadishu somali elder leader apparently embarrass abduction worry impact fragile peace process daily contact captor point kidnapper demand million dollar end ransom pay hostage set free unconditionally accord red cross somali leader ali mahdi mohamed bill grant somali advisor congressman florida say family abgal subclan stage kidnapping feel exclude distribution international aid aid worker foreigner kidnap somalia militiaman eager easy money country disintegrate fiefdom clan follow ouster late dictator mohame siad barre 1991 past aid agency refuse pay ransom fear cause inside walled north mogadishu compound hostage unaware course negotiation take keep faith gurtner say hope say treat hostage confine single room 20 square meter 200 square foot 10 access water food sanitary facility apart tense moment generally speak ve treat respect blame international tv crew create unnecessary tension force entrance compound actually militiaman incite create dramatic affect say think go survive press seriously affect dignity news release come night anxiety minute bickering captor say moment come room see colleague somali red crescent come pick car car start move burst cry gurtner say total moment relief free hostage appear good shape indication physically harm mogadishu somali faction leader clan elder come congratulate group release ali mahdi mohame somali leader north mogadishu apologize ordeal behalf somalis pvshh kjd
APW19980424.0879,327,moscow ap russia switzerland sign agreement friday pledge combine effort prevent russian organize crime launder profit swiss bank memorandum sign moscow swiss federal prosecutor carla del ponte russian prosecutor general yuri skuratov call share information organized crime suspect bank involve launder accept deposit illegal profit frequent report russian organize crime use swiss bank launder criminal profit run hundred million dollar activity apparently thrive lake geneva area russian buy property run prostitution racket year del ponte skuratov agree step effort fight organized crime memorandum sign friday official agreement nation law enforcement agency skuratov say believe important step raise solid barrier organized crime skuratov tell reporter signing know exactly russian crime money keep switzerland figure goal new agreement del ponte skuratov say joint news conference know happy lawyer del ponte tell reporter switzerland interested get russia information people suspect launder money switzerland del ponte say side agree form joint task force investigate organize crime activity share information analyze crime situation country skuratov say del ponte say swiss police complete investigation case repute russian mafia boss sergei mikhailov arrest geneva october 1996 warrant issue united state israel belgium mikhailov charge involvement organize crime money launder case soon bring trial del ponte say adjai
APW19980424.0883,255,moscow ap sergei kiriyenko russia new prime minister represent new generation young leader quickly enter rank politic business field son prominent academic kiriyenko bear july 26 1962 black sea town sukhumi graduate gorky institute water transport engineering take year course moscow academy economic majoring finance banking serve military kiriyenko foreman krasnoye sormovo shipyard soviet city gorky know nizhny novgorod serve secretary gorkys regional committee young communist league komsomol deputy local legislature kiriyenko 28 begin career private businessman soviet union collapse 1991 transition market economy provide new opportunity young russian kiriyenko founder nizhny novgorod commercial bank garantia 1994 serve bank chairman board year later kiriyenko president norsi oil company hold job enter government deputy minister fuel energy 1997 november 1997 appoint minister fuel energy post hold yeltsin fire cabinet name kiriyenko act prime minister march 23 kiriyenko marry son daughter jaigm
